instrument,timeframe,t,side,theta,stationary_std,hurst,hmm_state_confidence,hmm_recent_flip,gjr_vol_pct,egarch_vol_pct,garman_klass_vol_pct,rejected
NQ,1h,150,resistance,0.046742328580913206,14.699107855889798,0.3825204383038275,0.6051705083159306,1,0.18013219530017344,0.20037033753718586,0.1408732962914657,0
NQ,1h,170,resistance,0.060059128855392774,13.470214634590791,0.33513257245065176,0.6032123006381794,1,0.13317183702716662,0.14427425444728567,0.13633451573301997,0
NQ,1h,190,resistance,0.07135108845400029,14.989725855454719,0.41657656121874975,0.6004325229708747,1,0.11481364574110976,0.11377142854789969,0.14161970800690551,0
NQ,1h,230,resistance,0.05896588082042409,16.16157049259902,0.5476801437414048,0.6002912828638323,1,0.10806866921870803,0.11341856426187291,0.14084744399997273,0
NQ,1h,230,support,0.05896588082042409,16.16157049259902,0.5476801437414048,0.6002912828638323,1,0.10806866921870803,0.11341856426187291,0.14084744399997273,1
NQ,1h,290,resistance,0.019679000787588774,24.11447658617518,0.5747545839530052,0.5999824639663509,1,0.08345766447791003,0.08395220317292484,0.13604483034680967,1
NQ,1h,310,resistance,0.02445083837191031,23.149356574018878,0.6043220065784095,0.6015342116071574,1,0.1897815117091631,0.17792622571908337,0.11911294839905581,1
NQ,1h,330,resistance,0.07352550563694271,11.258792829245575,0.5736890814527693,0.6012056867871066,1,0.08122991356294935,0.0798861082290227,0.11376425339239024,1
NQ,1h,350,resistance,0.07090235329983863,9.931702533729652,0.4128236475490539,0.6017229864579501,1,0.09188075048129345,0.09633508523429876,0.1158149215428373,1
NQ,1h,370,support,0.06453421789106428,11.667212503216792,0.31904604035920137,0.6005660775568235,1,0.09535703798915893,0.10137988529463529,0.12727632455053128,0
NQ,1h,390,resistance,0.10465579259569024,15.845615122433683,0.49196082038831457,0.6013664407064485,1,0.22338360890027664,1.3720437398243436e-14,0.14786781527928317,0
NQ,1h,390,support,0.10465579259569024,15.845615122433683,0.49196082038831457,0.6013664407064485,1,0.22338360890027664,1.3720437398243436e-14,0.14786781527928317,1
NQ,1h,410,support,0.0629734812773568,20.326604351597997,0.5031335913151611,0.6020816617681117,1,0.2688968149540327,0.16085913755003284,0.17554606915962345,0
NQ,1h,430,support,0.04335990585122196,32.083337912790334,0.5055801311352089,0.6033335207983063,1,0.128795634243218,0.1313474043779119,0.18522892532191632,1
NQ,1h,450,support,0.02131759217789464,34.24745310874597,0.5202658780098312,0.6050451561058092,1,0.16637752882725354,0.1929202521581543,0.19684183095832358,0
NQ,1h,490,support,0.04023340740124215,28.369775884644202,0.5089727337981724,0.6019714392204742,1,0.17357646167851595,0.16737661217943078,0.22807740185816103,1
NQ,1h,510,support,0.047181118708102265,24.149008269184446,0.4961851981830872,0.60678579822022,1,0.23653253293344167,0.2162652847344015,0.23479002137031715,0
NQ,1h,530,resistance,0.06552729220622922,21.168710594448342,0.3993982494264612,0.603169430266013,1,0.4143567194866642,0.3901152429737023,0.24958683463043194,1
NQ,1h,550,resistance,0.0792457967216027,23.116124157865062,0.46782938269844027,0.6020251155698685,1,0.2686861800686116,0.26729668986952804,0.2437927663921415,0
NQ,1h,550,support,0.0792457967216027,23.116124157865062,0.46782938269844027,0.6020251155698685,1,0.2686861800686116,0.26729668986952804,0.2437927663921415,1
NQ,1h,570,resistance,0.04517823151067768,26.45703433631298,0.5136307884137972,0.6015166332555468,1,0.12816109309677892,0.12097862944037142,0.22302685910446438,1
NQ,1h,570,support,0.04517823151067768,26.45703433631298,0.5136307884137972,0.6015166332555468,1,0.12816109309677892,0.12097862944037142,0.22302685910446438,1
NQ,1h,630,resistance,0.05321247050952882,29.792596022791585,0.5382842112446437,0.6053350381229395,1,0.16911197504305,0.1616262877434407,0.22667387949749174,1
NQ,1h,650,resistance,0.03979904421951108,33.62326456735609,0.5850134509442911,0.6064312233372765,1,0.15122413761222836,0.16077818702774335,0.21669560634180846,0
NQ,1h,670,resistance,0.03154764519196018,41.787776317065926,0.4255464345863379,0.6062589409232915,1,0.13137339915903704,0.14514411232308483,0.20872104988289286,1
